ensemble,object,family,K,K_eff,S2,mu,sigma,gamma_3,beta_4,C0_measured,C0_measured_se,C0_formula,abs_rel_err,rho_star_equal_exposure,rho_star_equal_count,rho_star_fixed_flux,rho_star_spread_ratio,rho_star_spread_abs
uniform,digit_2,synthetic_digit,1024,210.00167616690024,202.46112184146244,0.5001378846018167,0.288698116423262,-0.00045533180369834454,1.7998567569790622,645943.5511976946,383.05338859018394,646401.7150880173,0.0007087912665273241,92.42479330940238,42.911511179365384,66.75123961234614,2.153846153846154,49.51328213003699
uniform,letter_L,binary_letter,1024,59.80235255589372,51.459869349407995,0.5001378846018167,0.288698116423262,-0.00045533180369834454,1.7998567569790622,184884.1006345092,198.96291810283788,184808.60730645465,0.0004084946537655948,92.89620625756007,43.13038147672432,67.09170451934894,2.1538461538461537,49.76582478083575
uniform,stripe,stripe,1024,512.0,512.0,0.5001378846018167,0.288698116423262,-0.00045533180369834454,1.7998567569790622,1574556.317941717,645.4877009241551,1574504.0626323316,3.318842461296506e-05,92.40701047115132,42.90325486160597,66.73839645138706,2.1538461538461537,49.50375560954535
uniform,ring,ring,1024,220.0,220.0,0.5001378846018167,0.288698116423262,-0.00045533180369834454,1.7998567569790622,676903.4121201707,394.8448765227368,677128.6002681366,0.00033256333859884614,92.45293544036421,42.92457716874053,66.77156448470748,2.1538461538461537,49.52835827162369
uniform,natural_patch,procedural_natural,1024,864.2560692486833,202.63928285559996,0.5001378846018167,0.288698116423262,-0.00045533180369834454,1.7998567569790622,2656880.5089283115,903.8873201414033,2657058.696237232,6.706186399754194e-05,92.37325920904811,42.88758463277234,66.71402053986807,2.1538461538461537,49.48567457627578
binary,digit_2,synthetic_digit,1024,210.00167616690024,202.46112184146244,0.499972216796875,0.4999999992275036,0.00011113281267211548,1.000000012355222,216191.87064503157,210.16141029920968,216040.866206101,0.0006989623842116639,30.93380051939655,14.362121669719825,22.341078152897502,2.153846153846154,16.571678849676722
binary,letter_L,binary_letter,1024,59.80235255589372,51.459869349407995,0.499972216796875,0.4999999992275036,0.00011113281267211548,1.000000012355222,62327.05421461327,111.4175373088481,62253.81717907649,0.0011764264242000093,31.316629520202945,14.539863705808509,22.617565764591014,2.153846153846154,16.776765814394437
binary,stripe,stripe,1024,512.0,512.0,0.499972216796875,0.4999999992275036,0.00011113281267211548,1.000000012355222,525468.2232665456,331.1734919592888,525252.8514323566,0.0004100345835374654,30.838495299503357,14.317872817626558,22.27224660519687,2.1538461538461537,16.5206224818768
binary,ring,ring,1024,220.0,220.0,0.499972216796875,0.4999999992275036,0.00011113281267211548,1.000000012355222,226758.7151628921,216.00822857112368,226278.0142873478,0.002124381712727393,30.971196891784867,14.37948427118583,22.36808664406685,2.1538461538461537,16.591712620599036
binary,natural_patch,procedural_natural,1024,864.2560692486833,202.63928285559996,0.499972216796875,0.4999999992275036,0.00011113281267211548,1.000000012355222,885885.4061533794,427.2645542260269,885923.0601205964,4.250252523277915e-05,30.80007624623174,14.300035400036164,22.244499511167366,2.153846153846154,16.500040846195574
rademacher,digit_2,synthetic_digit,1024,210.00167616690024,202.46112184146244,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1007.249307930892,10.039000582859906,1023.0470078795732,0.015441812377150197,0.14412220529787298,0.06691388103115531,0.10408825938179714,2.1538461538461537,0.07720832426671767
rademacher,letter_L,binary_letter,1024,59.80235255589372,51.459869349407995,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1029.705809402227,10.187520892355142,1023.0133871009036,0.0065418716760773975,0.5173823110075625,0.2402132158249397,0.37366500239435063,2.153846153846154,0.2771690951826228
rademacher,stripe,stripe,1024,512.0,512.0,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1013.9662570568222,10.048641406138687,1023.1146075102511,0.008941667322775664,0.0595072970497027,0.027628387915933392,0.04297749231367417,2.153846153846154,0.03187890913376931
rademacher,ring,ring,1024,220.0,220.0,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1011.4400781991822,10.138684876971917,1023.0492459151687,0.011347613775524174,0.13814467851278164,0.06413860073807719,0.09977115670367563,2.153846153846154,0.07400607777470446
rademacher,natural_patch,procedural_natural,1024,864.2560692486833,202.63928285559996,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1002.6629096542214,10.126833220101753,1023.1934568888933,0.020065166656847815,0.034860145400421864,0.016185067507338724,0.02517677167808246,2.1538461538461537,0.01867507789308314
gaussian_clipped,digit_2,synthetic_digit,1024,210.00167616690024,202.46112184146244,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,1376661.075670594,666.0352045044801,1377203.2474677917,0.00039367595029611444,196.9794653728378,91.45475178024613,142.2629472137162,2.1538461538461537,105.52471359259168
gaussian_clipped,letter_L,binary_letter,1024,59.80235255589372,51.459869349407995,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,392626.4810106621,304.2950880053599,392920.2562808565,0.0007476714816769561,197.27770228468503,91.59321891788949,142.4783405389392,2.1538461538461537,105.68448336679555
gaussian_clipped,stripe,stripe,1024,512.0,512.0,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,3356675.3174691317,1296.8334989749724,3356252.19635468,0.0001260695232947637,196.99538700216038,91.46214396528875,142.27444616822694,2.1538461538461537,105.53324303687164
gaussian_clipped,ring,ring,1024,220.0,220.0,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,1442890.2768024553,693.8123329036963,1442724.0491112545,0.00011521793880346978,197.07308194963605,91.49821661947387,142.33055918584824,2.153846153846154,105.57486533016218
gaussian_clipped,natural_patch,procedural_natural,1024,864.2560692486833,202.63928285559996,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,5664073.68098073,1988.2528316588844,5664649.126302231,0.00010158534247590226,196.92603583569652,91.42994520943053,142.2243592146697,2.1538461538461537,105.496090626266
