basis,N,N_factor,v,rel_mse_mean,rel_mse_std,theory_rel_mse_mean,measured_leverage_mean,C0_measured_mean
orthogonal_inverse,1024,1,0.0,3.176545482386456e-13,1.918706167641795e-13,0.0,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.0001,8.105303899660172e-05,3.646358298268452e-05,0.0001,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.0003,0.00023245355005586962,0.00011574258794948023,0.0003,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.001,0.0009345435320928124,0.00045977556327472574,0.001,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.003,0.002540934532792384,0.001239653278992566,0.003,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.01,0.00840655329615406,0.004056030835640558,0.01,1.0,3.252782573963731e-10
orthogonal_inverse,2048,1,0.0,8.246102142735073e-13,4.2297458762421864e-13,0.0,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.0001,7.940695270705546e-05,4.0091048802391984e-05,0.0001,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.0003,0.00027823814441166935,0.00013344181684055696,0.0003,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.001,0.0007665234607470499,0.0003694166778058723,0.001,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.003,0.0024501894402880605,0.0011842015300401903,0.003,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.01,0.008215071002734508,0.0037933461700538013,0.01,1.0,1.688801718832143e-09
orthogonal_inverse,4096,1,0.0,1.3850179600741842e-13,1.0862080974732214e-13,0.0,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.0001,8.467200377363397e-05,3.756757469847591e-05,0.0001,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.0003,0.00025343866799245723,0.00011822379575186543,0.0003,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.001,0.0008428570187536363,0.0003994535945323575,0.001,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.003,0.0027315519757673988,0.0012730134025844288,0.003,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.01,0.008216013750774121,0.004628346888169113,0.01,1.0,5.673033564463858e-10
random_dgi,1024,1,0.0,0.0,0.0,0.0,749.6368764408832,0.0
random_dgi,1024,1,0.0001,0.07669326150706159,0.07561628282744393,0.07496368764408833,749.6368764408832,0.0
random_dgi,1024,1,0.0003,0.21304488220055043,0.2103446881232724,0.22489106293226493,749.6368764408832,0.0
random_dgi,1024,1,0.001,0.7313614765714247,0.7217358251643384,0.7496368764408832,749.6368764408832,0.0
random_dgi,1024,1,0.003,2.1701607701632883,2.1432489219155464,2.2489106293226495,749.6368764408832,0.0
random_dgi,1024,1,0.01,7.415447114415829,7.3015025724458695,7.496368764408832,749.6368764408832,0.0
random_dgi,2048,2,0.0,0.0,0.0,0.0,360.27869554791965,0.0
random_dgi,2048,2,0.0001,0.03617753754001227,0.03558444310908233,0.036027869554791966,360.27869554791965,0.0
random_dgi,2048,2,0.0003,0.10956083804635754,0.107859974820676,0.10808360866437589,360.27869554791965,0.0
random_dgi,2048,2,0.001,0.3635651659057295,0.35761724191983474,0.3602786955479197,360.27869554791965,0.0
random_dgi,2048,2,0.003,1.1000921462527253,1.0852771355059598,1.080836086643759,360.27869554791965,0.0
random_dgi,2048,2,0.01,3.6450309041858424,3.5806510425514517,3.6027869554791967,360.27869554791965,0.0
random_dgi,4096,4,0.0,0.0,0.0,0.0,184.28687442450044,0.0
random_dgi,4096,4,0.0001,0.018360577846383504,0.018089655588384487,0.018428687442450045,184.28687442450044,0.0
random_dgi,4096,4,0.0003,0.055231021457539706,0.05439615967966009,0.05528606232735013,184.28687442450044,0.0
random_dgi,4096,4,0.001,0.1836968505443998,0.18086398340601217,0.18428687442450042,184.28687442450044,0.0
random_dgi,4096,4,0.003,0.5506736604180831,0.5420774354991782,0.5528606232735013,184.28687442450044,0.0
random_dgi,4096,4,0.01,1.8363567714457394,1.810675356362565,1.8428687442450045,184.28687442450044,0.0
srht_inverse,1024,1,0.0,2.6520649665564576e-13,1.3494134969389006e-13,0.0,1.0,2.7157145257538126e-10
srht_inverse,1024,1,0.0001,9.932055370245376e-05,7.828797332411165e-06,0.0001,1.0,2.7157145257538126e-10
srht_inverse,1024,1,0.0003,0.00029973672279317367,2.1499875192861317e-05,0.0003,1.0,2.7157145257538126e-10
srht_inverse,1024,1,0.001,0.0009932523603767595,7.369517018560276e-05,0.001,1.0,2.7157145257538126e-10
srht_inverse,1024,1,0.003,0.003044413441975125,0.0002124683391811078,0.003,1.0,2.7157145257538126e-10
srht_inverse,1024,1,0.01,0.00986704146107446,0.0007561974563488665,0.01,1.0,2.7157145257538126e-10
srht_inverse,2048,1,0.0,5.732287211631019e-13,2.02386418864754e-13,0.0,1.0,1.1739724209420326e-09
srht_inverse,2048,1,0.0001,9.982969822967156e-05,5.743108290205765e-06,0.0001,1.0,1.1739724209420326e-09
srht_inverse,2048,1,0.0003,0.0003017878720877959,1.5966013423274535e-05,0.0003,1.0,1.1739724209420326e-09
srht_inverse,2048,1,0.001,0.0010006452621620688,5.116116079780349e-05,0.001,1.0,1.1739724209420326e-09
srht_inverse,2048,1,0.003,0.0029739813741774144,0.0001537866903414255,0.003,1.0,1.1739724209420326e-09
srht_inverse,2048,1,0.01,0.009899180138977557,0.0005306204183735897,0.01,1.0,1.1739724209420326e-09
srht_inverse,4096,1,0.0,8.993999083357561e-14,5.091115904953062e-14,0.0,1.0,3.683942024543257e-10
srht_inverse,4096,1,0.0001,0.00010032524733626815,3.9105656741935065e-06,0.0001,1.0,3.683942024543257e-10
srht_inverse,4096,1,0.0003,0.0002982184311860882,1.16566992401955e-05,0.0003,1.0,3.683942024543257e-10
srht_inverse,4096,1,0.001,0.000990445110450311,3.4379932236243066e-05,0.001,1.0,3.683942024543257e-10
srht_inverse,4096,1,0.003,0.0029878111243126426,0.0001083707400408013,0.003,1.0,3.683942024543257e-10
srht_inverse,4096,1,0.01,0.009983275535064288,0.0003516407826163115,0.01,1.0,3.683942024543257e-10
